code,term
10939881000119105,Unhealthy alcohol drinking behavior
160577002,Heavy drinker - 7-9u/day
160578007,Very heavy drinker - greater than 9 units/day
160592001,Alcohol intake above recommended sensible limits
198421000000108,Hazardous alcohol use
198431000000105,Harmful alcohol use
228278007,Fairly heavy drinker
228279004,Very heavy drinker
228281002,Problem drinker
228315001,Binge drinker
228316000,Alcoholic binges exceeding sensible amounts
228317009,Alcoholic binges exceeding safe amounts
228326007,Drinking binge
777631000000108,Increasing risk alcohol drinking
777651000000101,Higher risk alcohol drinking
86933000,Heavy drinker
