code,term
1034281000000103,Heart-lung transplant recipient
1091751000000106,Peripheral nerve allograft
1095231000000108,Transplant of kidney using robotic assistance
1144941009,Chronic tubulointerstitial nephritis following renal transplantation
1153358006,Lymphocyte passenger syndrome following organ transplantation
1197150002,Recurrent hepatitis C virus induced liver disease following liver transplant
119943006,Endocrine gland transplantation
12200321000119107,Failure of lung transplant
12224461000119108,Infection of transplanted heart
12224501000119108,Infection of transplanted liver
1230342001,Hepatitis B reinfection following transplantation of liver
1240311000000103,Percutaneous needle biopsy of transplanted liver using fluoroscopic guidance
1240321000000109,Transjugular biopsy of transplanted liver using fluoroscopic guidance
1251346000,Failure of full thickness skin graft
1255577005,Recurrent glomerulonephritis following transplantation of kidney
1255627000,Post-renal transplant nephropathy caused by BK polyomavirus
1256047001,Failure of split skin graft
1263485003,Acquired cystic disease of transplanted kidney
1264001009,De novo thrombotic microangiopathy following transplant of kidney
128531006,Transplantation of pancreatic islet cells
128571000119108,Neoplasm following transplantation of kidney
128641000119100,Acute graft-versus-host disease following transplant of kidney
128651000119103,Graft-versus-host disease following transplant of kidney
1293269004,Biopsy of transplanted kidney
129791000119108,Neoplasm following transplantation of liver
13160009,Complication of transplanted intestines
145781000119106,Infection of transplanted kidney
149133003,Lung transplant
149204008,Heart transplant
149298002,Spleen transplant
149473000,Liver transplant
149522005,Pancreatic transplant
149586006,Renal transplant
15960341000119104,Unstable angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart
161665007,History of renal transplant
161666008,History of heart recipient
161668009,History of skin recipient
161669001,History of bone tissue recipient
161671001,History of liver recipient
161672008,History of being lung transplant recipient
169761000000104,Heart and lung transplant
173167009,Other specified transplantation of lung
173168004,Transplantation of lung NOS
174425003,Orthotopic liver transplant
174426002,Heterotopic liver transplant
174427006,Replacement of previous liver transplant
174428001,Other specified transplantation of liver
174429009,Transplantation of liver NOS
174691005,Transplantation of pancreas and duodenum
174692003,Whole organ pancreatic transplant
174693008,Transplantation of tail of pancreas
174694002,Renewal of transplanted pancreatic tissue
174695001,Other specified transplantation of pancreas
174696000,Transplantation of pancreas NOS
174699007,Excision of transplanted pancreas
174802006,Allotransplant of heart and lung
174803001,Revision of transplantation of heart and lung
174804007,Other specified transplantation of heart and lung
174805008,Transplantation of heart and lung NOS
174806009,Other transplantation of heart
