code,term,dmd_id,dmd_type,bnf_code
17042711000001108,Febuxostat 120mg tablets,17042711000001108,VMP,1001040V0AAABAB
37197211000001101,Febuxostat 120mg tablets,37197211000001101,AMP,1001040V0AAABAB
37080411000001105,Febuxostat 120mg tablets,37080411000001105,AMP,1001040V0AAABAB
37874611000001105,Febuxostat 120mg tablets,37874611000001105,AMP,1001040V0AAABAB
37418411000001100,Febuxostat 120mg tablets,37418411000001100,AMP,1001040V0AAABAB
40690011000001104,Febuxostat 120mg tablets,40690011000001104,AMP,1001040V0AAABAB
37759211000001107,Febuxostat 120mg tablets,37759211000001107,AMP,1001040V0AAABAB
37066311000001102,Febuxostat 120mg tablets,37066311000001102,AMP,1001040V0AAABAB
38085811000001106,Febuxostat 120mg tablets,38085811000001106,AMP,1001040V0AAABAB
41958811000001106,Febuxostat 120mg tablets,41958811000001106,AMP,1001040V0AAABAB
37403211000001109,Febuxostat 120mg tablets,37403211000001109,AMP,1001040V0AAABAB
38900211000001106,Febuxostat 120mg tablets,38900211000001106,AMP,1001040V0AAABAB
41143411000001102,Febuxostat 120mg tablets,41143411000001102,AMP,1001040V0AAABAB
37505411000001101,Febuxostat 120mg tablets,37505411000001101,AMP,1001040V0AAABAB
37425311000001107,Febuxostat 120mg tablets,37425311000001107,AMP,1001040V0AAABAB
42364711000001108,Febuxostat 120mg tablets,42364711000001108,AMP,1001040V0AAABAB
37245811000001102,Febuxostat 120mg tablets,37245811000001102,AMP,1001040V0AAABAB
17030811000001102,Adenuric 120mg tablets,17030811000001102,AMP,1001040V0BBABAB
41203911000001102,Elstabya 120mg tablets,41203911000001102,AMP,1001040V0BCABAB
