code,term
1033961000000104,Gouty tophi of toe
1033971000000106,Gouty tophi of toe 
1075001000119108,Chronic tophaceous gout of right foot
1075021000119104,Chronic tophaceous gout of left foot
1153332006,Polyarticular chronic gout caused by lead
1153351000,Polyarticular chronic primary gouty arthritis
1153373007,Monoarticular chronic primary gouty arthritis
1153376004,Monoarticular chronic gout caused by lead
1153419002,Chronic gout caused by drug
1153420008,Chronic gout caused by lead
1163015003,Sodium urate tophus
14763005,Gouty tophus of pinna
16005991000119109,Tophus of bilateral elbows co-occurrent and due to gout
16006551000119104,Chronic tophaceous gout of right hand
16006591000119109,Chronic tophaceous gout of left hand
16006631000119109,Tophus of bilateral hands co-occurrent and due to gout
16040031000119108,Chronic tophaceous gout of bilateral elbows
16040071000119106,Chronic tophaceous gout of bilateral hands
16075931000119103,Tophus of right foot co-occurrent and due to gout
16076011000119100,Chronic tophaceous gout of bilateral feet
16076051000119104,Chronic tophaceous gout of left elbow
16076131000119106,Chronic tophaceous gout of right elbow
16076171000119109,Tophus of left foot co-occurrent and due to gout
190838003,Gouty tophi of heart
190839006,Gouty tophi of other sites
190842000,Chronic tophaceous gout of hand
195026009,Gouty tophi of heart
27277001,Gouty tophus of heart
281362006,Gouty tophus of bursa
281363001,Gouty tophus of tendon
281364007,Gouty tophus of olecranon bursa
281365008,Gouty tophus of prepatellar bursa
303881000119102,Chronic tophaceous gout of ankle due to renal impairment
303891000119104,Chronic gout of ankle without tophus due to renal impairment
303901000119100,Chronic tophaceous gout of elbow due to renal impairment
303911000119102,Chronic gout of elbow without tophus due to renal impairment
303921000119109,Chronic tophaceous gout of hand due to renal impairment
303931000119107,Chronic gout of hand without tophus due to renal impairment
303941000119103,Chronic tophaceous gout of hip due to renal impairment
303951000119101,Chronic gout of hip without tophus due to renal impairment
303961000119104,Chronic tophaceous gout of knee due to renal impairment
303971000119105,Chronic gout of knee without tophus due to renal impairment
304121000119108,Chronic tophaceous gout of multiple sites due to renal impairment
304131000119106,Chronic gout of multiple sites without tophus due to renal impairment
304281000119100,Chronic tophaceous gout of shoulder due to renal impairment
304291000119102,Chronic gout of shoulder without tophus due to renal impairment
304301000119101,Chronic tophaceous gout of vertebra due to renal impairment
304311000119103,Chronic gout of vertebra without tophus due to renal impairment
304321000119105,Chronic tophaceous gout due to renal impairment
304331000119108,Chronic gout without tophus due to renal impairment
304341000119104,Chronic tophaceous gout of wrist due to renal impairment
304351000119102,Chronic gout of wrist without tophus due to renal impairment
306131000119100,Chronic tophaceous gout of ankle and/or foot caused by drug
306141000119109,Chronic gout of ankle and/or foot without tophus caused by drug
306151000119106,Chronic tophaceous gout of elbow caused by drug
306161000119108,Chronic gout of elbow without tophus caused by drug
306171000119102,Chronic tophaceous gout of hand caused by drug
306181000119104,Chronic gout of hand without tophus caused by drug
306191000119101,Chronic tophaceous gout of hip caused by drug
306201000119103,Chronic gout of hip without tophus caused by drug
306211000119100,Chronic tophaceous gout of knee caused by drug
306221000119107,Chronic gout of knee without tophus caused by drug
306371000119100,Chronic tophaceous gout of multiple sites caused by drug
306381000119102,Chronic gout of multiple sites without tophus caused by drug
306531000119108,Chronic tophaceous gout of shoulder caused by drug
306541000119104,Chronic gout of shoulder without tophus caused by drug
306551000119102,Chronic tophaceous gout of vertebra caused by drug
306561000119100,Chronic gout of vertebra without tophus caused by drug
306571000119106,Chronic tophaceous gout caused by drug
306581000119109,Chronic gout without tophus caused by drug
306591000119107,Chronic tophaceous gout of wrist caused by drug
306601000119100,Chronic gout of wrist without tophus caused by drug
309661000119108,Primary chronic gout without tophus of ankle and/or foot
309681000119104,Primary chronic gout without tophus of elbow
309701000119101,Primary chronic gout without tophus of hand
309721000119105,Primary chronic gout without tophus of hip
309741000119104,Primary chronic gout without tophus of knee
309901000119103,Primary chronic gout without tophus of multiple sites
310061000119109,Primary chronic gout without tophus of shoulder
310081000119100,Primary chronic gout without tophus of vertebra
310101000119107,Primary chronic gout without tophus
310121000119103,Primary chronic gout without tophus of wrist
3875003,Tophus
402469004,Gouty tophus
402470003,Chronic tophaceous gout of digit
634001000000109,Gouty tophi of other sites
68451005,Chronic gouty arthritis
710733002,Chronic gout without tophus
710734008,Secondary chronic gout without tophus
719680009,Chronic tophaceous gout of toe
721285007,Chronic primary gouty arthritis
73877009,Chronic tophaceous gout
