code,term,dmd_id,dmd_type,bnf_code
42110611000001101,Probenecid 500mg tablets,42110611000001101,VMP,1001040K0AAAAAA
15877811000001103,Probenecid 500mg tablets,15877811000001103,AMP,1001040K0AAAAAA
11388911000001103,Probenecid 250mg tablets,11388911000001103,VMP,1001040K0AAADAD
11389111000001108,Probenecid 250mg tablets,11389111000001108,AMP,1001040K0AAADAD
34807211000001104,Probenecid 250mg tablets,34807211000001104,AMP,1001040K0AAADAD
16101711000001103,Probenecid 300mg tablets,16101711000001103,VMP,1001040K0AAAFAF
16095511000001104,Probenecid 300mg tablets,16095511000001104,AMP,1001040K0AAAFAF
4563711000001102,Benemid 500mg tablets,4563711000001102,AMP,1001040K0BBAAAA
7677611000001109,Benuryl 500mg tablets,7677611000001109,AMP,1001040K0BCAAAA
32942611000001109,Benemid 500mg tablets,32942611000001109,AMP,1001040K0BFAAAA
395519000,VMP previous to 42110611000001101,395519000,VMP,1001040K0AAAAAA
4601211000001101,VMP previous to 42110611000001101,4601211000001101,VMP,1001040K0AAAAAA
